id|first_name|last_name|email|city|state|zip|latittude|longitude|abilities|seeking
0|Allison|Terry|Caleb.Roob@hotmail.com|Russellton|PA|82800|-79.837|40.61146|{"tambourine":"expert","clarinet":"beginner"}|{french horn,trombone}
1|Lauriane|Herzog|Kassandra88@gmail.com|Brentwood|PA|08416|-79.97477|40.37063|{"banjo":"expert"}|{violin,piano}
2|Franco|Bergnaum|Wilfredo_Stehr27@gmail.com|Faxon|PA|45224|-76.97719|41.24841|{"french horn":"intermediate","flute":"intermediate","guitar":"intermediate"}|{fiddle,xylophone,tambourine}
3|Melany|Kilback|Arianna89@hotmail.com|Lisbon|OH|12910|-80.76813|40.772|{"cello":"beginner","clarinet":"expert"}|{flute}
4|Garrett|Orn|Carmine54@yahoo.com|Williamsburg|NY|46850|-73.95347|40.71427|{"bass":"expert","oboe":"beginner","piano":"beginner"}|{french horn}
5|Caden|Robel|Violet_Roob93@gmail.com|Burlington|WI|11200|-88.2762|42.67807|{"cello":"expert"}|{guitar,bass}
6|Earl|Carter|Antonina_Feil97@hotmail.com|Romoland|CA|51658|-117.17503|33.74585|{"xylophone":"expert","guitar":"expert"}|{bass}
7|Devan|Howe|Jakayla72@yahoo.com|Milan|IL|06301|-90.57208|41.45309|{"french horn":"intermediate","saxophone":"expert"}|{guitar,banjo,fiddle}
8|Winfield|Muller|Estel_Wyman52@hotmail.com|Brambleton|VA|95531|-77.5386|38.98205|{"flute":"intermediate","trombone":"intermediate"}|{xylophone}
9|Jonas|Hettinger|Fredy.Legros@hotmail.com|Leisure World|MD|94943|-77.06898|39.1023|{"guitar":"expert"}|{oboe}
10|Virginia|Sauer|Dawson_Moore68@hotmail.com|Mountain Lake|MN|44566|-94.92971|43.93885|{"banjo":"expert","vocals":"expert","drums":"intermediate"}|{tambourine,piano,guitar}
11|Mckenzie|O'Conner|Alta.Armstrong33@gmail.com|Princeton|WV|82253|-81.10259|37.36623|{"vocals":"intermediate"}|{saxophone,oboe,xylophone}
12|Murray|Corkery|Jess_Stehr65@yahoo.com|Villano Beach|FL|37807|-81.30202|29.93858|{"fiddle":"expert","bass":"expert"}|{banjo,guitar}
13|Jed|Blick|Donny34@hotmail.com|Leeds|AL|59401|-86.54443|33.54816|{"french horn":"expert","oboe":"intermediate"}|{tambourine}
14|Brody|Torphy|Natasha.Flatley@gmail.com|Steamboat Springs|CO|19806|-106.83172|40.48498|{"flute":"beginner","clarinet":"expert","cello":"expert"}|{trombone}
15|Rahsaan|Beier|Jerrell_Marquardt@hotmail.com|Siletz|OR|11605|-123.92011|44.72178|{"flute":"expert","piano":"intermediate"}|{trumpet,clarinet}
16|Marcelle|Block|Danny_Doyle38@hotmail.com|La Junta|CO|24929|-103.54383|37.98501|{"guitar":"expert","bass":"beginner","xylophone":"beginner"}|{vocals,clarinet,flute}
17|Fannie|Medhurst|Ambrose_Breitenberg@gmail.com|Makakilo|HI|17123|-158.08655|21.35237|{"fiddle":"beginner"}|{bass,banjo}
18|Bernita|Rippin|Greta_Jacobs@yahoo.com|Rubidoux|CA|19384|-117.4056|33.99613|{"triangle":"expert"}|{oboe}
19|Gilda|Von|Michaela_Buckridge@hotmail.com|Kalona|IA|91236|-91.706|41.48307|{"trumpet":"beginner","saxophone":"intermediate","piano":"expert"}|{tambourine}
20|Garrick|Baumbach|Salvatore_Hane@hotmail.com|Diboll|TX|89367|-94.78104|31.18713|{"fiddle":"beginner"}|{saxophone,trumpet}
21|Macie|Schmitt|Antwan_Watsica24@yahoo.com|Keego Harbor|MI|42460|-83.34382|42.60809|{"trumpet":"expert","violin":"beginner"}|{guitar,vocals}
22|Brannon|O'Hara|Arvel_Weimann@gmail.com|Greenfield|TN|48948|-88.80062|36.1534|{"drums":"intermediate"}|{tambourine,flute}
23|Casper|Nienow|Courtney_Schinner@gmail.com|Mount Juliet|TN|63643|-86.51861|36.20005|{"trombone":"beginner"}|{vocals}
24|Carey|Satterfield|Herman_Huel@yahoo.com|University Park|MD|91128|-76.94192|38.97039|{"cello":"intermediate","triangle":"intermediate"}|{vocals,bass}
25|Kylee|Kuphal|Gino.Crooks53@hotmail.com|Spring Valley|NV|49487|-115.245|36.10803|{"drums":"intermediate","fiddle":"expert","flute":"intermediate"}|{violin}
26|Burnice|Stanton|Nolan.MacGyver88@yahoo.com|Gillett|WI|29050|-88.30732|44.88999|{"cello":"expert","flute":"expert","piano":"intermediate"}|{fiddle,saxophone,bass}
27|Valentine|Jacobs|Ivy20@hotmail.com|Sonora|CA|39215|-120.38214|37.98409|{"cello":"intermediate","french horn":"expert","drums":"intermediate"}|{flute,triangle,tambourine}
28|Darion|Nitzsche|Roselyn.Runte@hotmail.com|Pinehurst|NC|75255|-79.46948|35.19543|{"oboe":"beginner","vocals":"beginner","xylophone":"expert"}|{bass,french horn,cello}
29|Beaulah|Gislason|Lina.Hudson@gmail.com|Chapman|KS|50800|-97.02251|38.97222|{"french horn":"intermediate","trombone":"intermediate"}|{violin}
30|Kiel|Gleason|Jackeline.Zieme13@gmail.com|East Earl|PA|21072|-76.03272|40.1101|{"tambourine":"expert"}|{trombone,saxophone}
31|Kylee|Krajcik|Adrian_Langosh78@gmail.com|Dickens|TX|51251|-100.83652|33.62175|{"guitar":"expert","drums":"intermediate","fiddle":"expert"}|{french horn}
32|Thomas|Skiles|Giles.Thompson@gmail.com|Kingsville|MD|45223|-76.41774|39.44872|{"guitar":"beginner","fiddle":"intermediate"}|{trombone,bass,banjo}
33|Nedra|Parisian|Morris_Cummings72@hotmail.com|Montague|MA|42285|-72.53509|42.53564|{"xylophone":"expert","drums":"beginner","clarinet":"intermediate"}|{banjo,piano}
34|Emilia|Friesen|Solon_Ortiz8@yahoo.com|Sauk Centre|MN|58648|-94.95252|45.73747|{"clarinet":"beginner"}|{tambourine}
35|Cecile|Ullrich|Elda_Bechtelar22@gmail.com|Hau‘ula|HI|83498|-157.90868|21.6076|{"flute":"intermediate"}|{violin}
36|Alberto|Boyer|Markus67@yahoo.com|Boiling Springs|NC|22280|-81.66704|35.25429|{"bass":"expert"}|{drums,vocals}
37|Riley|McClure|Aurore_Senger@yahoo.com|Petaluma|CA|26392|-122.63665|38.23242|{"piano":"intermediate","bass":"expert"}|{triangle,flute}
38|Kattie|Leffler|Easton15@yahoo.com|White Plains|NC|03865|-81.39814|35.23402|{"trumpet":"intermediate","vocals":"intermediate","trombone":"intermediate"}|{drums}
39|Garrick|Larson|Bart.Mitchell@yahoo.com|Mona|UT|96024|-111.85549|39.81607|{"clarinet":"beginner"}|{oboe,cello,vocals}
40|Lowell|Bradtke|Sandy_Harvey38@gmail.com|Hindman|KY|80455|-82.98044|37.33593|{"trumpet":"beginner","piano":"beginner","violin":"intermediate"}|{triangle,french horn,fiddle}
41|Herminia|Kreiger|Dock.Crona47@gmail.com|Fillmore|CA|13912|-118.91815|34.39916|{"oboe":"beginner","banjo":"expert","piano":"beginner"}|{clarinet}
42|Gwen|Mertz|Jamie.Wilkinson3@gmail.com|Eagle Point|OR|54754|-122.80282|42.47263|{"violin":"beginner","xylophone":"beginner"}|{tambourine}
